name,refcount
libsepol2,6028
libpam-modules,5472
acl,109
libacl1,2381
ldap-utils,13
libmozilla-ldap-perl,3
perlapi-5.36.0,4411
libnetaddr-ip-perl,70
libsocket-getaddrinfo-perl,18
libsasl2-modules-gssapi-mit,8
libsasl2-modules,77
python3-lib389,4
python3-argcomplete,30
python3-importlib-metadata,1572
python3-typing-extensions,2102
python3-zipp,1622
python3-more-itertools,1632
python3-argparse-manpage,5
python3-dateutil,1357
python3-six,2737
tzdata,4909
python3-distro,208
lsb-release,411
python3-ldap,23
python3-pyasn1,220
python3-pyasn1-modules,146
libnss3-tools,18
openssl,6128
python3-packaging,1141
python3-pytest,206
python3-attr,974
python3-pluggy,233
python3-py,487
python3-exceptiongroup,232
python3-iniconfig,207
python3-tomli,291
python3-selinux,12
python3-semanage,9
python3-sepolicy,9
python3-sepolgen,10
checkpolicy,12
make,451
python3-setools,14
python3-networkx,164
semodule-utils,11
systemd,207
libcryptsetup12,359
libargon2-1,696
libdevmapper1.02.1,640
dmsetup,640
libfdisk1,378
libkmod2,1009
libseccomp2,1327
libsystemd-shared,209
libapparmor1,891
libip4tc2,277
mount,333
liblmdb0,296
libsnmp40,139
libpci3,262
pci.ids,328
libwrap0,563
libsnmp-base,140
cockpit-389-ds,2
cockpit,5
cockpit-bridge,15
libjson-glib-1.0-0,693
libjson-glib-1.0-common,694
libpolkit-agent-1-0,1010
libpolkit-gobject-1-0,1067
libssh-4,154
glib-networking,800
libproxy1v5,1132
glib-networking-services,801
glib-networking-common,802
gsettings-desktop-schemas,945
cockpit-ws,6
cockpit-system,7
libpwquality-tools,15
libpwquality1,74
libpwquality-common,75
libjs-bootstrap,331
fonts-glyphicons-halflings,341
libjs-c3,4
libjs-d3,175
libjs-jquery-datatables,138
libjs-jquery,3379
libjs-jquery-datatables-extensions,23
libjs-jquery-jstree,7
libjs-moment,39
389-ds-base-dev,1
libldap2-dev,99
libldap-dev,100
libnspr4-dev,30
3dchess,1
libxpm4,1622
libxt6,3035
xaw3dg,10
libxmu6,1303
3depict,1
libftgl2,48
libglu1-mesa,919
libopengl0,1664
libgomp1,6185
libgsl27,393
libgslcblas0,394
libmgl8,12
libgif7,1202
libhdf4-0,23
libhdf5-103-1,944
libcurl4,3438
libsz2,1121
libaec0,1147
libhpdf-2.3.0,53
libltdl7,2724
libmgl-data,14
libqhull8.0,37
4g8,1
libnet1,73
sgml-base,2635
libpcap0.8,357
4pane,1
4ti2,1
lib4ti2-0,3
libglpk40,135
libamd2,346
libsuitesparseconfig5,374
libcolamd2,367
libgmpxx4ldbl,261
4ti2-doc,1
lib4ti2-dev,1
64tass,1
6tunnel,1
7kaa,1
7kaa-data,2
7zip,4
9base,1
debianutils,549
9menu,1
9mount,1
9wm,1
elpa-a,3
dh-elpa-helper,431
emacsen-common,1440
a2jmidid,1
python3-dbus,231
libjack-jackd2-0,1373
a2ps,2
file,346
libmagic1,962
libmagic-mgc,963
psutils,6
libpaper1,1750
ucf,3879
sensible-utils,4339
liba52-0.7.4,171
liba52-0.7.4-dev,1
a56,1
a7xpg,1
a7xpg-data,2
libgphobos2,27
gcc-11-base,88
libsdl-mixer1.2,150
libfluidsynth3,376
libinstpatch-1.0-2,381
timgm6mb-soundfont,377
libmad0,360
libmikmod3,170
libsdl1.2debian,455
libcaca0,938
libslang2,1059
aa3d,1
libcoq-aac-tactics,1
libcoq-stdlib-ewsr6,39
libcoq-core-ocaml-cpf60,6
libzarith-ocaml-4dps0,23
ocaml-base-4.13.1,338
libaa-bin,1
libaa1,529
libgpm2,731
libncurses6,2596
libaa1-dev,1
libncurses5-dev,29
libncurses-dev,128
libc6-dev,3163
libc-dev-bin,3164
linux-libc-dev,3166
libcrypt-dev,3164
libnsl-dev,3164
libtirpc-dev,3166
rpcsvc-proto,3164
ncurses-bin,129
libslang2-dev,33
libpng-dev,520
zlib1g-dev,2006
libx11-dev,931
libxau-dev,969
x11proto-dev,992
xorg-sgml-doctools,993
libxdmcp-dev,969
x11proto-core-dev,971
xtrans-dev,932
libxcb1-dev,968
libpthread-stubs0-dev,969
aaphoto,1
aardvark-dns,1
netavark,2
aasvg,1
nodejs,746
libnode108,746
libc-ares2,1104
libuv1,1182
node-acorn,746
node-xtend,748
node-cjs-module-lexer,747
node-undici,747
node-busboy,748
abacas,1
mummer,9
gawk,242
abacas-examples,1
abcde,1
cd-discid,2
wget,523
cdparanoia,10
libcdparanoia0,429
vorbis-tools,19
libao4,152
libao-common,153
libspeex1,1136
libmusicbrainz-discid-perl,3
libdiscid0,15
libwebservice-musicbrainz-perl,3
libxml-libxml-perl,359
libxml-namespacesupport-perl,411
libxml-sax-perl,410
libxml-sax-base-perl,412
libwww-perl,848
ca-certificates,5812
libencode-locale-perl,958
libfile-listing-perl,850
libhttp-date-perl,924
libtimedate-perl,1072
libtime-local-perl,926
libhtml-parser-perl,1063
libhtml-tagset-perl,1064
liburi-perl,1260
libregexp-ipv6-perl,1263
libhtml-tree-perl,882
libhttp-cookies-perl,850
libhttp-message-perl,916
libclone-perl,1036
libcompress-raw-bzip2-perl,930
libcompress-raw-zlib-perl,930
libencode-perl,1030
libio-html-perl,919
liblwp-mediatypes-perl,917
libhttp-negotiate-perl,850
liblwp-protocol-https-perl,848
libio-socket-ssl-perl,975
libnet-ssleay-perl,995
perl-openssl-abi-3,1007
netbase,1824
libnet-http-perl,850
libio-socket-ip-perl,1014
libtry-tiny-perl,1460
libwww-robotrules-perl,849
libclass-accessor-perl,302
libsub-name-perl,841
libmojolicious-perl,41
libjs-bootstrap4,206
libjs-popper.js,210
javascript-common,224
libjs-highlight.js,198
abcl,1
default-jre,264
default-jre-headless,551
openjdk-17-jre-headless,551
ca-certificates-java,551
java-common,553
util-linux,556
util-linux-extra,557
libsmartcols1,937
libpcsclite1,703
openjdk-17-jre,268
libgtk2.0-0,880
libgtk2.0-common,882
libjna-java,86
libjna-jni,87
abcm2ps,1
abcmidi,1
abe,1
abe-data,2
libtreelayout-java,19
abgate,1
libatkmm-1.6-1v5,128
libglibmm-2.4-1v5,202
libsigc++-2.0-0v5,254
libgtkmm-2.4-1v5,30
libcairomm-1.0-1v5,132
libpangomm-1.4-1v5,129
abi-compliance-checker,4
build-essential,88
gcc,849
cpp,952
cpp-12,1199
libisl23,2188
libmpc3,2218
libmpfr6,2573
gcc-12,1094
libcc1-0,1864
binutils,1918
binutils-common,2755
libbinutils,2704
binutils-x86-64-linux-gnu,1921
libctf-nobfd0,1923
libctf0,1926
libgprofng0,1923
libjansson4,3266
libgcc-12-dev,1653
libitm1,1713
libatomic1,2562
libasan8,1655
liblsan0,1709
libtsan2,1655
libubsan1,1710
libquadmath0,4754
g++,530
g++-12,608
libstdc++-12-dev,1103
dpkg-dev,361
libdpkg-perl,383
bzip2,466
xz-utils,513
patch,388
dh-acc,1
debhelper,71
autotools-dev,152
dh-autoreconf,75
autoconf,133
m4,178
automake,125
autopoint,77
libdebhelper-perl,79
libtool,125
dh-strip-nondeterminism,72
libfile-stripnondeterminism-perl,74
libarchive-zip-perl,130
libsub-override-perl,84
dwz,72
man-db,125
bsdextrautils,185
groff-base,133
libuchardet0,171
libpipeline1,190
po-debconf,82
gettext,238
gettext-base,383
intltool-debian,86
abi-dumper,2
elfutils,3
libasm1,5
libdw1,1391
vtable-dumper,3
abi-monitor,2
curl,170
libdata-dump-perl,126
abi-tracker,1
pkgdiff,2
rpm,15
libpopt0,604
librpm9,95
liblua5.3-0,722
librpmio9,99
librpmbuild9,24
librpmsign9,24
libfsverity0,27
rpm2cpio,17
libarchive13,791
rpm-common,22
debugedit,19
wdiff,45
rfcdiff,2
abicheck,1
r-cran-abind,49
r-base-core,1341
zip,1386
unzip,1587
libpaper-utils,1504
xdg-utils,1759
libblas3,3467
liblapack3,3430
libgfortran5,3777
libtcl8.6,2099
libtk8.6,1966
libxft2,3525
r-api-4.0,1326
abinit,1
libnetcdff7,10
libnetcdf19,543
libhdf5-hl-100,719
libopenmpi3,753
libevent-core-2.1-7,829
libevent-pthreads-2.1-7,784
libfabric1,756
ibverbs-providers,800
libibverbs1,978
libnl-3-200,1174
libnl-route-3-200,1052
libpsm-infinipath1,759
libpsm2-2,759
libnuma1,3149
librdmacm1,939
libhwloc15,1121
libpmix2,757
libmunge2,801
libhwloc-plugins,758
libxnvctrl0,772
ocl-icd-libopencl1,1544
libucx0,775
libxc9,9
mpi-default-bin,335
openmpi-bin,398
openmpi-common,399
openssh-client,586
libfido2-1,592
libcbor0.8,599
abinit-data,1
abinit-doc,1
abiword,2
abiword-common,3
fonts-urw-base35,345
xfonts-utils,448
libfontenc1,686
xfonts-encodings,449
libabiword-3.0,7
libebook-contacts-1.2-4,66
libcamel-1.2-64,150
libedataserver-1.2-27,147
libsecret-1-0,561
libsecret-common,562
libsoup-3.0-0,614
libsoup-3.0-common,615
evolution-data-server-common,148
libphonenumber8-protobuf32,95
libenchant-2-2,567
hunspell-en-us,571
dictionaries-common,904
libtext-iconv-perl,911
libaspell15,735
libhunspell-1.7-0,701
libgoffice-0.10-10,18
libgsf-1-114,103
libgsf-1-common,104
librsvg2-2,1490
libxslt1.1,3131
libgoffice-0.10-10-common,19
libical3,230
librdf0,97
libraptor2-0,174
libyajl2,401
librasqal3,100
libmhash2,124
libwv-1.2-4,10
libots0,5
librevenge-0.0-0,172
libtidy5deb1,22
libwmf-0.2-7,48
libwmflite-0.2-7,190
libwpd-0.10-10,58
libwpg-0.3-3,54
abiword-plugin-grammar,1
liblink-grammar5,6
link-grammar-dictionaries-en,8
minisat,8
gir1.2-abi-3.0,4
gir1.2-glib-2.0,1522
libgirepository-1.0-1,1608
gir1.2-gsf-1,14
gir1.2-freedesktop,997
gir1.2-gtk-3.0,736
gir1.2-atk-1.0,812
gir1.2-gdkpixbuf-2.0,911
gir1.2-pango-1.0,884
gir1.2-harfbuzz-0.0,899
libpangoxft-1.0-0,913
libabiword-dev,1
libcairo-dev,4
libebook1.2-dev,3
libebook-1.2-21,47
libedata-book-1.2-27,52
libebackend-1.2-11,58
gir1.2-ebook-1.2,4
gir1.2-camel-1.2,33
gir1.2-ebookcontacts-1.2,15
gir1.2-edataserver-1.2,31
gir1.2-soup-3.0,139
libedataserver1.2-dev,12
libcamel1.2-dev,13
libglib2.0-dev,681
libffi-dev,745
libglib2.0-bin,901
libglib2.0-data,907
libglib2.0-dev-bin,683
python3-distutils,2133
python3-lib2to3,2223
libmount-dev,684
libblkid-dev,689
uuid-dev,854
libselinux1-dev,700
libsepol-dev,701
libpcre2-dev,780
libc-dev,1130
libpcre2-posix3,798
pkg-config,1284
pkgconf,1298
pkgconf-bin,1299
libpkgconf3,1302
libsqlite3-dev,136
libnss3-dev,28
libxml2-dev,302
libicu-dev,672
icu-devtools,673
libsoup-3.0-dev,34
libbrotli-dev,433
libnghttp2-dev,36
libpsl-dev,53
libsysprof-capture-4-dev,34
libsecret-1-dev,13
gir1.2-secret-1,25
libgcrypt20-dev,36
libgpg-error-dev,83
libebook-contacts1.2-dev,8
libedata-book1.2-dev,7
gir1.2-edatabook-1.2,8
gir1.2-ebackend-1.2,12
libebackend1.2-dev,9
libenchant-2-dev,11
libfribidi-dev,257
libgoffice-0.10-dev,2
gir1.2-goffice-0.10,4
libcairo2-dev,291
libcairo-script-interpreter2,488
liblzo2-2,710
libfontconfig-dev,360
libexpat1-dev,931
libfreetype-dev,396
libpixman-1-dev,298
libsm-dev,369
libice-dev,370
libxcb-render0-dev,302
libxcb-shm0-dev,297
libxext-dev,680
libxrender-dev,366
x11proto-render-dev,367
libgtk-3-dev,149
libatk-bridge2.0-dev,150
libatk1.0-dev,210
libatspi2.0-dev,151
gir1.2-atspi-2.0,227
libdbus-1-dev,222
xml-core,1257
sed,1335
libxtst-dev,159
libxi-dev,270
libxfixes-dev,295
x11proto-xext-dev,162
x11proto-record-dev,160
libegl1-mesa-dev,179
libegl-dev,556
libgl-dev,646
libglx-dev,647
libglvnd-dev,264
libglvnd-core-dev,265
libgles-dev,299
libgles1,307
libgles2,684
libopengl-dev,598
libepoxy-dev,180
libgdk-pixbuf-2.0-dev,273
libgdk-pixbuf2.0-bin,274
libjpeg-dev,520
libjpeg62-turbo-dev,523
libtiff-dev,386
libjbig-dev,387
liblzma-dev,443
libzstd-dev,433
libwebp-dev,388
libwebpmux3,2164
libwebpdemux2,1701
libtiffxx6,389
libdeflate-dev,393
liblerc-dev,387
libpango1.0-dev,250
libharfbuzz-dev,264
libharfbuzz-icu0,591
libharfbuzz-gobject0,275
libharfbuzz-subset0,473
libgraphite2-dev,265
libthai-dev,253
libdatrie-dev,254
libxft-dev,285
libfontconfig1-dev,294
libfreetype6-dev,340
pango1.0-tools,251
libwayland-dev,216
libwayland-bin,217
libxcomposite-dev,239
libxcursor-dev,267
libxdamage-dev,238
libxinerama-dev,266
libxkbcommon-dev,218
libxrandr-dev,266
wayland-protocols,177
libgsf-1-dev,8
libbz2-dev,113
librsvg2-dev,34
gir1.2-rsvg-2.0,121
librsvg2-common,276
libxslt1-dev,22
libical-dev,8
gir1.2-ical-3.0,19
libdb-dev,11
libdb5.3-dev,14
librasqal3-dev,4
libraptor2-dev,7
libcurl4-gnutls-dev,83
libyajl-dev,10
libgmp-dev,217
librdf0-dev,3
libwv-dev,2
libwmf-dev,25
libxslt-dev,6
ableton-link-dev,1
libasio-dev,5
ableton-link-utils,1
abntex,1
texlive-fonts-recommended,29
tex-common,322
texlive-base,161
texlive-binaries,168
libptexenc1,170
libkpathsea6,228
libsynctex2,227
libtexlua53-5,172
libtexluajit2,170
t1utils,181
libteckit0,171
libxaw7,831
libzzip-0-13,203
texlive-lang-portuguese,6
texlive-latex-recommended,56
texlive-latex-base,116
fonts-lmodern,121
abook,1
abootimg,3
abpoa,1
graphviz,130
libann0,134
libcdt5,156
libcgraph6,155
libgd3,738
libavif15,985
libaom3,2210
libdav1d6,2210
libgav1-1,988
libabsl20220623,1221
librav1e0,1568
libsvtav1enc1,1569
libyuv0,989
libheif1,1447
libde265-0,1504
libx265-199,1976
libgts-0.7-5,184
libgvc6,153
libpathplan4,154
libgvpr2,134
liblab-gamut1,134
python3-pyabpoa,1
abr2gbr,1
abs-guide,1
libabsl-dev,6
abx,1
libportaudio2,293
python-abydos-doc,1
libjs-mathjax,361
fonts-mathjax,362
libjs-sphinxdoc,2170
libjs-underscore,2297
sphinx-rtd-theme-common,328
fonts-font-awesome,565
fonts-lato,372
python3-abydos,1
python3-deprecation,262
python3-numpy,990
abyss,1
accel-config,1
libaccel-config1,4
accel-config-test,1
libaccel-config-dev,1
accerciser,2
ipython3,20
python3-ipython,103
python3-backcall,104
python3-decorator,817
python3-jedi,125
python3-parso,126
python3-matplotlib-inline,104
python3-traitlets,152
python3-pexpect,149
python3-ptyprocess,155
python3-pickleshare,104
python3-prompt-toolkit,143
python3-wcwidth,521
python3-pygments,421
python3-stack-data,104
python3-asttokens,110
python3-executing,106
python3-pure-eval,105
python3-setuptools,807
gir1.2-wnck-3.0,21
libwnck-3-0,110
libstartup-notification0,346
libxres1,165
libwnck-3-common,111
python3-cairo,203
python3-gi-cairo,180
python3-gi,571
libgirepository-1.0-1-with-libffi8,724
python3-xlib,40
python3-pyatspi,10
libatk-adaptor,16
at-spi2-core,55
libaccess-modifier-checker-java,1
libannotation-indexer-java,3
libasm-java,203
libaccessodf-java,1
libcommons-collections3-java,119
libridl-java,4
libjurt-java,2
libjuh-java,4
libunoil-java,4
libreoffice-java-common,14
liblibreoffice-java,18
libunoloader-java,20
ure-java,19
uno-libs-private,211
libuno-cppu3,213
libuno-sal3,215
libuno-salhelpergcc3-3,214
ure,209
liblangtag1,226
liblangtag-common,227
libuno-cppuhelpergcc3-3,210
libuno-purpenvhelpergcc3-3,210
libreoffice-common,203
libreoffice-style-colibre,207
libnumbertext-data,207
libreoffice-writer,19
libreoffice-base-core,33
libreoffice-core-nogui,56
fonts-opensymbol,74
libboost-locale1.74.0,161
libboost-thread1.74.0,701
libclucene-contribs1v5,75
libclucene-core1v5,84
libeot0,77
libexttextcat-2.0-0,101
libexttextcat-data,104
libgpgmepp6,657
libgpgme11,902
gnupg,1035
dirmngr,1038
gpgconf,1067
libassuan0,1103
libksba8,1044
libnpth0,1050
gnupg-l10n,1036
gnupg-utils,1036
gpg,1060
gpg-agent,1047
pinentry-curses,1049
gpg-wks-client,1036
gpg-wks-server,1036
gpgsm,1036
gpgv,1620
libhyphen0,527
libmythes-1.2-0,77
libnumbertext-1.0-0,76
libopenjp2-7,2636
liborcus-0.17-0,78
libboost-iostreams1.74.0,483
liborcus-parser-0.17-0,80
libpoppler126,792
libxmlsec1,153
libxmlsec1-nss,76
libreoffice-core,50
libgstreamer-plugins-base1.0-0,1142
libgstreamer1.0-0,1210
libunwind8,1516
libcap2-bin,1520
liborc-0.4-0,1202
iso-codes,1510
libzxing2,243
libabw-0.1-1,25
libe-book-0.1-1,25
libepubgen-0.1-1,32
libetonyek-0.1-1,37
libmwaw-0.3-3,35
libodfgen-0.1-1,56
libstaroffice-0.0-0,35
libwps-0.4-4,33
accounts-qml-module-doc,1
qml-module-sso-onlineaccounts,1
libaccounts-qt5-1,127
libaccounts-glib0,138
libqt5xml5,1506
libsignon-qt5-1,125
accountsservice,73
default-dbus-system-bus,350
libaccountsservice0,127
