name,refcount
librsvg2-dev [!alpha !hppa !hurd-i386 !ia64 !kfreebsd-amd64 !kfreebsd-i386 !m68k !sh4 !x32],2554
libsctp-dev [linux-any],2562
libsdl2-dev,2720
libshine-dev,2556
libsmbclient-dev (>= 4.13) [!hurd-i386],2554
libsnappy-dev,2576
libsoxr-dev,2565
libspeex-dev,2590
libsrt-gnutls-dev,2557
libssh-gcrypt-dev,2556
libsvtav1enc-dev,2554
libtesseract-dev,2558
libtheora-dev,2583
libtwolame-dev,2571
libva-dev (>= 1.3) [!hurd-any],2554
libvdpau-dev,2561
libvidstab-dev,2554
libvo-amrwbenc-dev,2556
libvorbis-dev,2696
libvpx-dev,2566
libvulkan-dev [linux-any],2585
libwebp-dev,2883
libx264-dev <!pkg.ffmpeg.stage1>,2554
libx265-dev,2562
libxcb-shape0-dev,2581
libxcb-shm0-dev,2571
libxcb-xfixes0-dev,2586
libxv-dev,2593
libxvidcore-dev,2557
libzimg-dev,2555
libzmq3-dev,2572
libzvbi-dev,2558
ocl-icd-opencl-dev,2573
nasm,2568
fonts-liberation2,2573
fontconfig,2582
uuid-dev,2759
gperf,2805
libfont-ttf-perl,2573
libsort-versions-perl,2569
pkg-kde-tools,3388
gir1.2-gdkpixbuf-2.0,2548
gir1.2-poppler-0.18,2541
gir1.2-rsvg-2.0,2544
libimage-exiftool-perl,2547
python3-all,7642
python3-gi-cairo,2558
python3-mutagen,2543
python3-setuptools,10555
junit4 [!hurd-i386 !hppa !sparc !kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.nojava>,2044
libapr1-dev,2067
libaprutil1-dev,2055
libdb5.3-dev,2047
libdbus-1-dev,2233
liblz4-dev,2295
libkf5coreaddons-dev [!kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.nokde>,2044
libkf5i18n-dev [!kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.nokde>,2044
libkf5wallet-dev [!kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.nokde>,2044
libsasl2-dev,2115
libsecret-1-dev,2111
libserf-dev,2044
libsqlite3-dev,2480
libutf8proc-dev,2056
py3c-dev,2044
python3-all-dev,4201
ruby [!ia64 !kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.noruby>,2044
ruby-dev [!ia64 !kfreebsd-i386 !kfreebsd-amd64] <!pkg.subversion.noruby>,2044
swig,2417
libsvn-perl,2029
libyaml-perl,2057
tcl,2046
libhttp-date-perl,2037
libcgi-pm-perl,2071
liberror-perl,2075
libmailtools-perl,2033
cvs,2031
libbsd-dev,2223
libkrb5-dev,2173
texlive-base,2058
dh-strip-nondeterminism,2113
cvsps,2028
libdbd-sqlite3-perl,2086
dh-sequence-perl-dbi,2099
libdbi-perl <!nocheck>,2093
unzip,3534
libio-pty-perl,2029
libboost-dev,562
libboost-filesystem-dev,159
libenet-dev,8
libfmt-dev,36
libgloox-dev,3
libicu-dev,1864
libminiupnpc-dev,12
libogg-dev,89
libsodium-dev,315
libwxgtk3.2-dev,109
libxcursor-dev,93
llvm,16
tzdata,1794
0ad-data,1
0xffff,1
libusb-dev,41
2048,1
2048-qt,1
qtbase5-dev,1176
qtdeclarative5-dev,258
2ping,1
python3-pytest,903
2vcard,1
3270font,1
fontforge-nox,67
389-ds-base,1
libcmocka-dev,33
dh-cargo,1557
libcrack2-dev,8
libevent-dev,1810
libjson-c-dev,84
libldap2-dev,1860
liblmdb-dev,22
libltdl-dev,599
libnspr4-dev,22
libnss3-dev,1796
libpam0g-dev,279
libpci-dev,24
librust-base64-dev,2
librust-cbindgen-dev,1
librust-cc-dev,2
librust-crossbeam-dev,1
librust-fernet-dev,1
librust-jobserver-dev,1
librust-lru-dev,1
librust-openssl-dev,2
librust-parking-lot-dev,1
librust-paste-dev,3
librust-rand-dev,3
librust-smallvec-dev,2
librust-tokio-dev,2
libsnmp-dev,28
libsystemd-dev,128
python3-argcomplete,17
python3-argparse-manpage,12
python3-dateutil,100
python3-ldap,5
python3-packaging,95
python3-selinux,1
python3-sepolicy,1
rsync,98
libacl1-dev,318
libxxhash-dev,1904
libzstd-dev,2359
python3-cmarkgfm,98
3dchess,1
libxpm-dev,183
xaw3dg-dev,21
3depict,1
libqhull-dev,24
libgsl-dev,158
libftgl-dev,17
libmgl-dev,1
libvigraimpex-dev,3
4g8,1
libnet1-dev,28
libpcap-dev,90
4pane,1
wx-common,8
libgtk-3-dev,682
4ti2,7
autoconf-archive,305
libgmp-dev,3268
libglpk-dev,30
64tass,1
6tunnel,1
7kaa,1
7zip,1
9base,1
9menu,1
xutils-dev,480
quilt,2948
x11proto-dev,484
9mount,1
9wm,1
a-el,1
dh-elpa,368
emacs-nox,372
a2jmidid,1
libasound2-dev,219
libjack-dev,147
meson,977
ninja-build,1102
asciidoc <!nodoc>,2805
docbook-xml <!nodoc>,2807
docbook-xsl <!nodoc>,2806
help2man <!nodoc>,2831
re2c,1118
python3 <!nocheck>,1157
python3-docutils,3029
python3-pygments,1209
xsltproc <!nodoc>,1105
zlib1g-dev <!nocheck>,979
pkg-config <!nocheck>,980
libboost-dev <!nocheck>,979
libboost-thread-dev <!nocheck>,977
libboost-test-dev <!nocheck>,981
libboost-log-dev <!nocheck>,977
libboost-python-dev <!nocheck>,977
libboost-regex-dev <!nocheck>,977
gobjc <!nocheck>,977
gobjc++ <!nocheck>,977
gnustep-make <!nocheck>,977
libgnustep-base-dev <!nocheck>,977
googletest <!nocheck>,997
qtbase5-dev <!nocheck>,978
qtbase5-private-dev <!nocheck>,978
qtbase5-dev-tools <!nocheck>,977
qttools5-dev-tools <!nocheck>,977
protobuf-compiler <!nocheck>,980
libprotobuf-dev <!nocheck>,979
default-jdk-headless [!hurd-i386] <!nocheck>,977
valac <!nocheck>,977
gobject-introspection <!nocheck>,978
libgirepository1.0-dev <!nocheck>,978
gfortran <!nocheck>,981
flex <!nocheck>,977
mono-mcs <!nocheck>,977
mono-devel <!nocheck>,977
libwxgtk3.2-dev <!nocheck>,977
python3-gi <!nocheck>,983
gtk-doc-tools <!nocheck>,977
rustc [i386 amd64 arm64 armhf] <!nocheck>,977
python3-dev <!nocheck>,986
cython3 <!nocheck>,979
gdc [amd64 armhf i386] <!nocheck>,977
itstool <!nocheck>,977
libgtk-3-dev <!nocheck>,980
g++-arm-linux-gnueabihf [!armhf] <!nocheck>,977
valgrind [amd64 i386] <!nocheck>,977
llvm-dev <!nocheck>,977
libsdl2-dev <!nocheck>,977
openmpi-bin <!nocheck>,977
openssh-client <!nocheck>,995
libvulkan-dev <!nocheck>,977
libpcap-dev <!nocheck>,978
libcups2-dev <!nocheck>,977
gtk-sharp2 <!nocheck>,977
gtk-sharp2-gapi <!nocheck>,977
libglib2.0-cil-dev <!nocheck>,977
libwmf-dev <!nocheck>,977
mercurial <!nocheck>,979
gcovr <!nocheck>,977
lcov <!nocheck>,978
doxygen <!nocheck>,977
nasm <!nocheck>,978
cmake <!nocheck>,982
clang-format <!nocheck>,977
a2ps,1
bzip2,73
docbook-to-man,221
graphicsmagick-imagemagick-compat,8
groff-base,2021
gv,2
libxinerama-dev,129
html2ps,3
lpr,4
texlive-base-bin,4
a52dec,1
a56,1
a7xpg,1
gdc,21
libglu1-mesa-dev,195
libphobos-dev,11
libsdl-mixer1.2-dev,132
libsdl1.2-dev,228
aa3d,1
aac-tactics,1
coq,44
bash,53
texi2html,68
sharutils,3634
locales <!nocheck>,67
time <!nocheck>,63
dh-coq,46
dh-ocaml,361
ocaml-dune,224
ocaml-nox,314
libcsexp-ocaml-dev <!pkg.ocaml-dune.nocsexp>,224
ocaml-native-compilers,45
ocaml-findlib,228
camlp5,56
ocaml,214
binutils-dev,242
libiberty-dev,222
libncurses-dev,3605
ocaml-compiler-libs,59
libcamlp-streams-ocaml-dev,61
texlive-latex-base,214
texlive-latex-recommended,230
libfindlib-ocaml-dev,142
liblablgtk3-ocaml-dev,49
liblablgtksourceview3-ocaml-dev,47
libnum-ocaml-dev,52
libounit-ocaml-dev,73
libzarith-ocaml-dev,50
tex-common,135
libcoq-core-ocaml-dev,33
libcoq-stdlib,32
aalib,1
libgpm-dev [linux-any],53
libslang2-dev,27
patch,17
ed,188
aaphoto,1
aardvark-dns,1
librust-anyhow-dev,3
librust-async-broadcast-dev,1
librust-chrono-dev,3
librust-clap-3+derive-dev,11
librust-futures-util-dev,1
librust-nix-dev,4
librust-resolv-conf-dev,1
librust-signal-hook-dev,2
librust-strsim-dev,2
librust-syslog-dev,1
librust-termcolor-dev,2
librust-textwrap-dev,2
librust-tokio+full-dev,2
librust-trust-dns-client-dev,1
librust-trust-dns-proto-dev,1
librust-trust-dns-server-dev,1
libstd-rust-dev <!nocheck>,1438
aasvg,1
nodejs <!nodoc> <!nocheck>,1
abacas,1
abcde,1
abcl,1
default-jdk,1799
ant,1708
antlr,1708
maven-repo-helper,1708
ant-optional,1709
junit4,1708
default-jdk-doc,1712
javahelper,1790
libhamcrest-java,1708
gradle-debian-helper,1708
default-jdk-headless,1725
gradle,1708
bnd,1708
libfindbugs-ant-java,1708
libbindex-java,1708
libeclipse-jdt-annotation-java,1709
libfelix-framework-java,1708
libfelix-gogo-runtime-java,1708
libfelix-resolver-java,1708
libjline2-java,1708
libosgi-annotation-java,1708
libosgi-compendium-java,1708
libosgi-core-java,1709
libslf4j-java,1708
libbuild-helper-maven-plugin-java,1708
libcommons-logging-java,1708
junit,1708
libavalon-framework-java,1708
libcommons-parent-java,1708
libexcalibur-logkit-java,1708
liblog4j1.2-java,1709
libservlet-api-java,1709
libmaven-antrun-plugin-java,1708
libmaven-install-plugin-java,1708
maven-debian-helper,1708
junit5,1708
libapiguardian-java,1708
libmaven-shade-plugin-java,1708
libopentest4j-java,1708
libopentest4j-reporting-java,1708
libpicocli-java,1708
libsurefire-java,1708
libunivocity-parsers-java,1708
libcommons-io-java,1709
libmaven-plugin-tools-java,1708
libmaven3-core-java,1708
libplexus-velocity-java,1708
maven-ant-helper,1708
ant-contrib,1708
ivy,1708
libbcpg-java,1708
libbcprov-java,1708
libcommons-cli-java,1708
libcommons-collections3-java,1708
libcommons-lang-java,1708
libcommons-vfs-java,1708
libhttpclient-java,1708
libjsch-agent-proxy-java,1708
libjsch-java,1709
liboro-java,1708
libbcel-java,1708
libcommons-httpclient-java,1708
libxerces2-java,1708
libstylebook-java,1708
libxml-commons-external-java,1708
libxml-commons-resolver1.1-java,1708
libxz-java,1708
libyaml-snake-java,1708
groovy,1708
ant-doc,1708
junit4-doc,1708
libasm-java,1708
libbsf-java,1708
librhino-java,1709
libxalan2-java,1708
cup,1708
jflex,1708
jlex,1709
dh-sequence-javahelper,1713
libregexp-java,1708
libjansi-java,1708
libjarjar-java,1708
libjcommander-java,1708
libqdox-java,1708
libservlet-api-java-doc,1708
libxstream-java,1708
libcglib-nodep-java,1708
libdom4j-java,1708
libjaxb-api-java,1708
libjdom1-java,1708
libjaxen-java,1708
libmaven-bundle-plugin-java,1708
